,FeaturePermutation,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7,baseline_8,baseline_9,baseline_10,baseline_11,baseline_12,baseline_13,baseline_14,baseline_15
0.0,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
0.1,0.8918918918918919,0.7567567567567568,0.7567567567567568,0.7432432432432432,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7702702702702703,0.7567567567567568,0.7702702702702703,0.7567567567567568,0.7702702702702703,0.7567567567567568,0.7567567567567568
0.2,0.8513513513513513,0.7297297297297297,0.7162162162162162,0.7297297297297297,0.7027027027027027,0.7162162162162162,0.7297297297297297,0.7162162162162162,0.7162162162162162,0.7297297297297297,0.7162162162162162,0.7027027027027027,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.7162162162162162
0.3,0.8108108108108109,0.7297297297297297,0.7297297297297297,0.7162162162162162,0.7162162162162162,0.7297297297297297,0.7162162162162162,0.7297297297297297,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.7297297297297297,0.7162162162162162,0.7162162162162162
0.4,0.8108108108108109,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.7027027027027027,0.7027027027027027,0.7162162162162162,0.7162162162162162,0.7162162162162162
0.5,0.7972972972972973,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.6891891891891891,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7162162162162162,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7162162162162162,0.7162162162162162
0.6,0.7837837837837838,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.6891891891891891,0.7162162162162162,0.6891891891891891,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.6891891891891891,0.6891891891891891,0.7027027027027027
0.7,0.7837837837837838,0.6891891891891891,0.6891891891891891,0.6891891891891891,0.6891891891891891,0.6891891891891891,0.6891891891891891,0.7162162162162162,0.7027027027027027,0.6891891891891891,0.6756756756756757,0.6891891891891891,0.6891891891891891,0.7162162162162162,0.6891891891891891,0.6891891891891891
0.8,0.7972972972972973,0.6891891891891891,0.6756756756756757,0.6621621621621622,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.7027027027027027,0.6891891891891891,0.6756756756756757,0.6621621621621622,0.6756756756756757,0.6891891891891891,0.7027027027027027,0.6756756756756757
0.9,0.7972972972972973,0.6621621621621622,0.6621621621621622,0.6756756756756757,0.6486486486486487,0.6621621621621622,0.6621621621621622,0.6756756756756757,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6351351351351351,0.6756756756756757,0.6621621621621622
1.0,0.7432432432432432,0.5405405405405406,0.5405405405405406,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5405405405405406,0.5540540540540541,0.5405405405405406,0.5405405405405406,0.5540540540540541,0.5540540540540541,0.5405405405405406,0.5405405405405406,0.5540540540540541
