,ShapleyValueSampling,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7,baseline_8,baseline_9,baseline_10,baseline_11,baseline_12,baseline_13,baseline_14,baseline_15
0.0,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
0.1,0.7297297297297297,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378
0.2,0.7432432432432432,0.3918918918918919,0.3918918918918919,0.4189189189189189,0.3918918918918919,0.3918918918918919,0.40540540540540543,0.40540540540540543,0.3918918918918919,0.40540540540540543,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.40540540540540543,0.3918918918918919,0.40540540540540543
0.3,0.7297297297297297,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.3918918918918919,0.40540540540540543,0.40540540540540543,0.4189189189189189,0.40540540540540543,0.3918918918918919,0.40540540540540543,0.40540540540540543,0.43243243243243246,0.40540540540540543
0.4,0.6891891891891891,0.3783783783783784,0.40540540540540543,0.40540540540540543,0.3783783783783784,0.3918918918918919,0.3918918918918919,0.3783783783783784,0.3918918918918919,0.3918918918918919,0.3918918918918919,0.3783783783783784,0.3783783783783784,0.40540540540540543,0.3783783783783784,0.3918918918918919
0.5,0.6756756756756757,0.3918918918918919,0.3918918918918919,0.3783783783783784,0.3783783783783784,0.3783783783783784,0.3783783783783784,0.3783783783783784,0.3918918918918919,0.3783783783783784,0.3918918918918919,0.3783783783783784,0.3918918918918919,0.3783783783783784,0.3783783783783784,0.3783783783783784
0.6,0.6891891891891891,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.3918918918918919,0.40540540540540543,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.3783783783783784,0.3918918918918919,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.3918918918918919,0.3918918918918919
0.7,0.7027027027027027,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.3918918918918919,0.40540540540540543,0.40540540540540543,0.3918918918918919,0.40540540540540543,0.40540540540540543,0.3918918918918919,0.40540540540540543,0.40540540540540543
0.8,0.6756756756756757,0.3918918918918919,0.3783783783783784,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.3783783783783784,0.3783783783783784,0.3918918918918919,0.40540540540540543,0.3918918918918919,0.3918918918918919,0.3783783783783784,0.40540540540540543,0.3783783783783784,0.40540540540540543
0.9,0.6756756756756757,0.36486486486486486,0.3783783783783784,0.36486486486486486,0.36486486486486486,0.36486486486486486,0.36486486486486486,0.3783783783783784,0.3918918918918919,0.36486486486486486,0.3783783783783784,0.3783783783783784,0.36486486486486486,0.3783783783783784,0.36486486486486486,0.36486486486486486
1.0,0.6621621621621622,0.3783783783783784,0.3783783783783784,0.3918918918918919,0.3918918918918919,0.35135135135135137,0.36486486486486486,0.36486486486486486,0.36486486486486486,0.3783783783783784,0.3783783783783784,0.3918918918918919,0.36486486486486486,0.3783783783783784,0.36486486486486486,0.3783783783783784
